# night,n_img_proc,n_img_raw,size_img_proc,size_conf_proc,size_cat_proc,size_img_raw
20101101,42,114,3609053.44,1372359.38,291121.88,9804774.38
20101102,59,162,5196661.88,1735787.81,338776.88,16233105.94
20101103,105,270,9962755.31,3318097.50,553066.88,27165656.25
20101104,84,222,7731030.94,2702061.56,465654.38,21064919.06
20101105,105,276,9631077.19,3365817.19,597341.25,26281063.12
20101111,63,174,5152035.94,2083255.31,403934.06,14005816.88
20101112,42,120,3162161.25,1414828.12,292429.69,8599010.62
20101113,34,86,2660073.75,1136806.88,211092.19,6570517.50
20101114,51,138,4016489.06,1712050.31,309265.31,10409096.25
20101115,44,113,4140109.69,1386503.44,292010.62,11333224.69
20101116,42,108,3928800.94,1328304.38,219774.38,10671058.12
20101117,42,108,3917250.00,1328242.50,271184.06,10593129.38
20101118,21,54,2011114.69,663330.94,92500.31,5480381.25
20101122,21,54,1999330.31,664818.75,129040.31,5422680.00
20101124,21,54,2043506.25,666275.62,114828.75,5553981.56
20101125,21,54,2038609.69,667091.25,125586.56,5531630.62
20101126,21,60,1611281.25,704950.31,132688.12,4393603.12
20101128,63,180,4820349.38,2111852.81,404204.06,13146406.88
20101129,42,120,3255370.31,1406694.38,213280.31,8892168.75
20101130,55,152,4210835.62,1830074.06,309585.94,11275419.38
20101201,21,54,2043334.69,672176.25,113737.50,5586747.19
20101202,42,114,3563159.06,1383750.00,271220.62,9715350.94
20101203,21,60,1596757.50,710721.56,126548.44,4346898.75
20101208,21,60,1592083.12,711953.44,144790.31,4327216.88
20101209,21,60,1568075.62,712448.44,150367.50,4263603.75
20101210,63,168,5613567.19,2044575.00,350732.81,15288581.25
20101212,42,108,4039934.06,1338460.31,178363.12,11028006.56
20101215,10,24,882902.81,311658.75,32245.31,2404805.62
20101218,21,54,2037045.94,669614.06,110579.06,5564595.94
20101221,21,54,2024406.56,666233.44,110123.44,5525721.56
20101223,21,54,2018559.38,668590.31,104914.69,5513830.31
20101224,21,54,2040994.69,671239.69,114550.31,5561476.88
20101225,21,54,2028574.69,670741.88,120931.88,5522470.31
20101226,35,102,2970267.19,1149676.88,200010.94,8673615.00
20101227,42,114,3530542.50,1379863.12,266324.06,9616775.62
20101228,42,114,3680381.25,1379964.38,220671.56,10061623.12
20101229,63,174,5012805.94,2093416.88,432666.56,13606990.31
20101230,63,174,5215483.12,2091225.94,389742.19,14188522.50
20101231,21,54,1994636.25,668961.56,116136.56,5436045.00
20110101,21,60,1636945.31,701969.06,116805.94,4464202.50
20110103,21,54,2000635.31,662118.75,129242.81,5435392.50
20110104,42,114,3679351.88,1363173.75,265210.31,9997368.75
20110105,21,54,1950668.44,657750.94,133903.12,5300949.38
20110106,84,234,6966253.12,2768442.19,455054.06,19025814.38
20110107,42,108,4069808.44,1325033.44,211033.12,11101809.38
20110108,42,114,3665573.44,1365302.81,230956.88,9991766.25
20110109,42,114,3626181.56,1367499.38,220969.69,9883406.25
20110110,42,114,3655234.69,1365454.69,235361.25,9973139.06
20110112,42,114,3688844.06,1362937.50,196782.19,10081212.19
20110113,37,97,3262272.19,1190098.12,176580.00,8756505.00
20110115,23,58,2116977.19,718731.56,119761.88,5744010.94
20110116,30,73,2825237.81,947115.00,120023.44,7406024.06
20110117,21,54,1962438.75,661317.19,125212.50,5329954.69
20110118,21,54,1998936.56,660009.38,99264.38,5460713.44
20110119,63,162,6096605.62,1990628.44,334409.06,16642746.56
20110120,84,216,7770822.19,2647518.75,529928.44,21133501.88
20110124,14,33,1144125.00,480757.50,61664.06,2547109.69
20110125,25,68,1830692.81,826776.56,191941.88,4847653.12
20110126,63,174,5149569.38,2079756.56,388161.56,14025133.12
20110127,49,136,3624913.12,1612279.69,312536.25,9943706.25
20110128,82,233,6248320.31,2657084.06,542520.00,17935869.38
20110129,42,120,3166180.31,1405780.31,259185.94,8625498.75
20110130,84,222,7369138.12,2689720.31,531450.00,20071605.94
20110131,105,276,9549438.75,3347372.81,539738.44,26071801.88
20110201,105,276,9471054.38,3385507.50,606071.25,25793091.56
20110204,21,54,2051145.00,669698.44,81244.69,5626288.12
20110206,21,54,2063016.56,671633.44,89305.31,5645851.88
20110210,21,54,2043919.69,671290.31,101424.38,5591075.62
20110211,42,108,3964944.38,1332607.50,215116.88,10834717.50
20110212,42,108,4001942.81,1336609.69,195516.56,10945068.75
20110213,21,54,1994630.62,667614.38,98142.19,5449514.06
20110216,9,19,726446.25,285887.81,67311.56,1687843.12
20110218,21,54,2025697.50,667898.44,92351.25,5556183.75
20110219,30,74,2813301.56,968475.94,219681.56,7492120.31
20110221,21,54,2024077.50,670786.88,228526.88,5518330.31
20110222,30,77,2384552.81,1012429.69,225323.44,5897328.75
20110226,21,49,1765777.50,656670.94,86484.38,4678984.69
20110301,21,54,2047719.38,666897.19,86453.44,5607160.31
20110508,42,114,3605942.81,1357380.00,301452.19,9833554.69
20110509,42,114,3625863.75,1359975.94,279388.12,9880126.88
20110510,42,114,3685438.12,1353518.44,273723.75,10029895.31
20110511,63,180,4869669.38,2090213.44,499128.75,13259548.12
20110512,21,54,2072970.00,661483.12,151301.25,5640288.75
20110513,42,108,3862963.12,1313249.06,401571.56,10449675.00
20110522,28,66,2631510.00,906454.69,133306.88,6485951.25
20110524,18,51,1341509.06,580592.81,103089.38,3729836.25
20110525,21,60,1625523.75,696270.94,157829.06,4431543.75
20110526,67,187,5070881.25,2215926.56,471518.44,13627105.31
20110527,42,114,3639507.19,1362062.81,293405.62,9874771.88
20110528,63,174,5245495.31,2055285.00,320821.88,14287995.00
20110529,63,168,5265258.75,2095216.88,448976.25,13614879.38
20110530,168,462,14366368.12,5458016.25,1004065.31,39207639.38
20110531,7,12,635445.00,230504.06,34076.25,1121062.50
20110601,24,59,2253456.56,753024.38,147209.06,5963827.50
20110602,142,392,11863766.25,4632600.94,1017593.44,32228457.19
20110603,68,177,6039433.12,2161383.75,382421.25,16241909.06
20110604,18,50,1306049.06,580173.75,111839.06,3548396.25
20110605,81,222,6706147.50,2634764.06,444231.56,18155497.50
20110607,84,240,6425642.81,2789791.88,581858.44,17543880.00
20110608,105,293,8663211.56,3441383.44,771361.88,23503356.56
20110609,79,224,6164212.50,2642866.88,590765.62,16558942.50
20110610,21,60,1600987.50,697831.88,178160.62,4342815.00
20110615,21,54,2021610.94,657551.25,137846.25,5504563.12
20110623,21,53,2044558.12,663142.50,112052.81,5468509.69
20110624,21,60,1550505.94,700273.12,154693.12,4201661.25
20110625,59,160,4851199.69,1910016.56,442051.88,13054533.75
20110626,46,115,4335935.62,1437198.75,261694.69,11597762.81
20110628,16,43,1191526.88,527565.94,120850.31,3084004.69
20110629,126,360,9543934.69,4198978.12,1018906.88,25915696.88
20110630,77,216,6058546.88,2557364.06,522053.44,16221960.00
20110701,70,186,5970715.31,2283617.81,418235.62,15689393.44
20110702,21,54,1995437.81,657405.00,126779.06,5410462.50
20110706,49,135,4100090.62,1592330.62,366105.94,11220924.38
20110710,3,6,229235.62,86776.88,10274.06,581709.38
20110711,21,54,2071319.06,657610.31,99042.19,5621698.12
20110712,21,54,1917163.12,658071.56,162466.88,5181274.69
20110713,49,120,4611667.50,1550424.38,282619.69,11945728.12
20110714,21,54,2052523.12,659455.31,93813.75,5585681.25
20110716,21,54,2036064.38,657905.62,103283.44,5533841.25
20110717,21,54,2070703.12,659871.56,134687.81,5627767.50
20110718,63,162,5970619.69,1974338.44,445879.69,16170795.00
20110722,44,121,3792855.94,1425510.00,254674.69,10493035.31
20110723,10,21,771516.56,337055.62,83508.75,1606120.31
20110724,25,67,1943988.75,830880.00,232287.19,5197505.62
20110725,63,180,4672049.06,2102751.56,561211.88,12690573.75
20110726,21,60,1605653.44,699435.00,186454.69,4367812.50
20110728,84,237,6640433.44,2791164.38,558942.19,17889471.56
20110729,21,60,1584874.69,702548.44,174254.06,4303625.62
20110801,21,60,1526999.06,703366.88,172054.69,4147340.62
20110802,21,60,1502527.50,703215.00,159772.50,4087209.38
20110803,21,60,1553051.25,703468.12,198230.62,4212247.50
20110807,42,120,3096975.94,1411200.00,310817.81,8408756.25
20110808,28,72,2755437.19,891348.75,147225.94,7516833.75
20110809,21,54,2044763.44,660189.38,103407.19,5579741.25
20110811,10,23,858495.94,309872.81,38593.12,2228430.94
20110812,42,108,4072514.06,1324757.81,259250.62,11085370.31
20110813,21,54,2053715.62,660456.56,146202.19,5600573.44
20110818,21,54,2053875.94,661519.69,114595.31,5575758.75
20110819,84,234,6825220.31,2777127.19,701223.75,18510181.88
20110823,21,60,1571554.69,699195.94,146680.31,4281305.62
20110824,21,54,2094547.50,672075.00,139463.44,5689836.56
20110825,63,174,5180473.12,2059093.12,457320.94,14113620.00
20110826,28,72,2289931.88,945815.62,147349.69,5583847.50
20110901,41,119,2975099.06,1326785.62,291526.88,8501172.19
20110902,21,60,1571996.25,700711.88,136459.69,4270005.00
20110904,21,60,1551088.12,704958.75,440024.06,4166589.38
20110906,21,54,2063145.94,659778.75,101286.56,5614945.31
20110918,63,180,4683422.81,2110266.56,618094.69,12686231.25
20110920,63,180,4700415.94,2103210.00,534282.19,12761325.00
20110921,32,74,2849419.69,1009656.56,242682.19,7087356.56
20110922,21,60,1660339.69,697761.56,134732.81,4528265.62
20110923,84,240,6305416.88,2804242.50,669847.50,17100815.62
20110924,21,60,1547218.12,702545.62,184373.44,4194916.88
20110925,46,127,3429413.44,1521959.06,368538.75,9121806.56
20110926,21,60,1590460.31,701319.38,174138.75,4314577.50
20110928,21,60,1578234.38,701372.81,145760.62,4276209.38
20110929,21,54,1988879.06,659275.31,123899.06,5419755.00
20111003,21,60,1567009.69,707428.12,182832.19,4248450.00
20111010,21,54,2030149.69,668005.31,135593.44,5499129.38
20111011,21,54,2081626.88,665108.44,102408.75,5651527.50
20111018,21,54,2016885.94,667110.94,104104.69,5468262.19
20111019,21,60,1616802.19,705825.00,161592.19,4405033.12
20111026,21,60,1631503.12,705366.56,129566.25,4436291.25
20111027,42,120,3177385.31,1412569.69,337514.06,8616706.88
20111029,63,180,4768059.38,2113003.12,475751.25,12962306.25
20111030,42,114,3691296.56,1369108.12,288433.12,10057924.69
20111031,21,54,2042862.19,667530.00,136276.88,5549658.75
20111102,51,136,3971896.88,1652107.50,414452.81,10126901.25
20111105,21,54,2045477.81,633403.12,123010.31,5568162.19
20111113,7,12,609584.06,222660.00,46797.19,1065875.62
20111116,36,100,2804062.50,1171724.06,216835.31,7444850.62
20111117,42,114,3695622.19,1307992.50,273864.38,10081085.62
20111118,21,60,1611680.62,679710.94,151374.38,4382004.38
